Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,Cluster,Method
-0.10845710675500041,-0.0642186755723741,-0.04190495573259129,-0.0033174622211285597,0.07321487556401751,0.12064909043618241,Batch,Seurat
-0.11622612149135937,-0.0651594769336628,-0.04294119756304047,-0.0046839173740728405,0.07356833348772511,0.12260865245046847,Batch,Seurat
-0.1083567988307803,-0.06761879038446232,-0.04671675349147538,-0.005240995711821533,0.07644293924229258,0.12882080604461174,Batch,Seurat
-0.10896139846579961,-0.06467801624251954,-0.04291685047487216,-0.003639708409600344,0.0755750067679875,0.11904867147511967,Batch,Seurat
-0.10808611968405081,-0.06450547028509891,-0.04334583785932891,-0.004749124978730651,0.07280383406744588,0.11850380673950751,Batch,Seurat
-0.11759375007012497,-0.06978472711735281,-0.04857559752617246,-0.005903918286179153,0.07790966133605275,0.12652703937842238,Batch,Seurat
-0.11399322560403359,-0.0700001692679629,-0.047064774900795615,-0.005092664906543494,0.07980234279995058,0.12990886364376072,Batch,Seurat
-0.10401055015709341,-0.057762808413906935,-0.03871893614718705,-0.0027910172755474466,0.06810927823294441,0.12330583554898146,Batch,Seurat
-0.11689973879622267,-0.06656839292586858,-0.04721307033117295,-0.005636870270769273,0.07520958801812033,0.12370998276388541,Batch,Seurat
-0.11462787893426059,-0.06881038223396395,-0.047675668014384595,-0.005223487271765939,0.07757024272848038,0.1258000820400362,Batch,Seurat
-0.11887945702469728,-0.06964490547542208,-0.047379985752282854,-0.005289802784002591,0.07823820483142241,0.1286925974045146,Batch,Seurat
-0.11430723715366896,-0.06936301160632828,-0.048277644476273654,-0.005596097757306939,0.07753240447761076,0.12322557978969867,Batch,Seurat
-0.12152868139379819,-0.07134016714403184,-0.04849849505473636,-0.004842625409953483,0.08062948749109199,0.12620391466294148,Batch,Seurat
-0.10836201340368727,-0.06700446169566321,-0.04446940081461483,-0.005188078810188818,0.07399201884214403,0.1251326924002628,Batch,Seurat
-0.11198498991904339,-0.06752188867368861,-0.0448109642160108,-0.004063175602166879,0.07745531070369589,0.1243569723811535,Batch,Seurat
-0.10712120904376546,-0.0609292139530552,-0.04080328087779965,-0.0036801534143329887,0.07018193125726639,0.12143313477705119,Batch,Seurat
-0.1004460221691626,-0.05453971246788441,-0.03396768415241606,-0.002788336361512608,0.06306195525441766,0.11133667531507568,Batch,Seurat
-0.10139047847430178,-0.05816663773168152,-0.03944988115906935,-0.0035712194459860754,0.06673705972476075,0.11749919683122062,Batch,Seurat
-0.11498928018953786,-0.06140455887028872,-0.04139135689525408,-0.005000602002826406,0.06970604444614892,0.12069682224115767,Batch,Seurat
-0.11206921056285835,-0.06656662875314505,-0.04490598878023142,-0.004010643056131104,0.07695380509336087,0.1290388484454708,Batch,Seurat
-0.2932132539192705,-0.0623837080552044,-0.024277275477126836,0.0027654665013005925,0.08998911965264457,0.20283678658788892,Cluster,Seurat
-0.27122617005441996,-0.061874199729559494,-0.028148989636174793,0.0036637635308237656,0.09926430916125126,0.20548507385045783,Cluster,Seurat
-0.2069230582391512,-0.06296209088801011,-0.02818226428314522,-8.490663191326898e-4,0.08051317086707423,0.19641878792632023,Cluster,Seurat
-0.2889347769965356,-0.06111060102840009,-0.026567273024183193,0.007763684993378453,0.10286601159670196,0.2006904308851009,Cluster,Seurat
-0.3502442157680725,-0.06473106188916157,-0.02901163919470041,3.767139619275923e-5,0.09216513940211754,0.2002120156079224,Cluster,Seurat
-0.290421195061768,-0.06719409997395931,-0.02872271251838955,-0.0012957525379928756,0.08213515477784332,0.18926263532238216,Cluster,Seurat
-0.1975691519422384,-0.06598450142634119,-0.030895657052002805,0.0030924847459739193,0.09740619716504628,0.2112307644700427,Cluster,Seurat
-0.23842127201916638,-0.05418179633656914,-0.022408282676531773,0.0022576978291310684,0.07793020775055676,0.18580734937656385,Cluster,Seurat
-0.19408816637711204,-0.06668194649673648,-0.026844484822498564,-0.006912377215653861,0.06488190181043757,0.18407318130235595,Cluster,Seurat
-0.2953419066185154,-0.06858016709882159,-0.028342018591517852,-0.010883759705638346,0.05720410035854947,0.1761654694008825,Cluster,Seurat
-0.3028930369386113,-0.06510963352931756,-0.028677865958392525,-0.009253264571566508,0.057776930119301184,0.17790966899012914,Cluster,Seurat
-0.2536489965168875,-0.06666758994414962,-0.029185607207481118,0.005754028920415069,0.10333795026210588,0.20482387437136387,Cluster,Seurat
-0.21209278278187557,-0.058943562701988,-0.017021436728102062,5.560471705454168e-4,0.07422421096816145,0.1857749225355569,Cluster,Seurat
-0.272301649107907,-0.0669291663885435,-0.028962681260247744,0.0018263290886538041,0.10000726548408052,0.20610331306563456,Cluster,Seurat
-0.23914051821095672,-0.06323150307843434,-0.02745681202981518,-6.397191210522365e-4,0.08144460519819047,0.19332471040573584,Cluster,Seurat
-0.25575487356137533,-0.0640614791955482,-0.027390257511018788,-0.004994895526608365,0.07133223016271961,0.18275499578301768,Cluster,Seurat
-0.25447888185752043,-0.06566839588902816,-0.029377938984619042,-0.0018166575161151146,0.08293859878433392,0.2005545898109399,Cluster,Seurat
-0.28383844812922093,-0.060106632072313364,-0.022783472602064442,0.00338970695083126,0.08638369193175499,0.19752054890539505,Cluster,Seurat
-0.24453758884449006,-0.06226411377491335,-0.02658280553226036,0.0027062640925953033,0.08464367045165037,0.20199260980337844,Cluster,Seurat
-0.24803122714289816,-0.06441042425382192,-0.026004866027587406,0.0014891887966367473,0.08981885692862238,0.2033954739583041,Cluster,Seurat
